timestamp,mq135,mq2,temperature,humidity,aqi,status,alert
2026-06-13 11:46:39.202022,156,139,26.32,32.74,147,Poor,NO
2026-06-13 11:46:44.227359,231,160,38.31,40.22,195,Poor,NO
2026-06-13 11:46:49.244641,152,131,24.89,80.37,141,Poor,NO
2026-06-13 11:46:54.256525,309,56,34.16,89.48,182,Poor,NO
2026-06-13 11:46:59.265632,103,294,22.25,79.87,198,Poor,NO
2026-06-13 11:47:04.277161,190,73,32.97,81.45,131,Poor,NO
2026-06-13 11:47:09.295300,219,237,21.85,65.13,228,Hazardous,YES
2026-06-13 11:47:14.307903,271,279,35.24,32.69,275,Hazardous,YES
2026-06-13 11:47:19.315138,183,191,32.83,51.72,187,Poor,NO
2026-06-13 11:47:24.332755,280,25,23.67,84.01,152,Poor,NO
2026-06-13 11:47:29.345300,216,114,42.59,49.39,165,Poor,NO
2026-06-13 11:47:34.358112,210,36,36.09,50.31,123,Poor,NO
2026-06-13 11:47:39.371686,343,154,24.04,47.42,248,Hazardous,YES
2026-06-13 11:47:44.378100,88,86,24.09,65.24,87,Moderate,NO
2026-06-13 11:47:49.394442,301,174,23.56,37.47,237,Hazardous,YES
2026-06-13 11:47:54.406137,112,28,25.52,89.23,70,Moderate,NO
2026-06-13 11:47:59.424245,77,177,38.08,37.71,127,Poor,NO
2026-06-13 11:48:04.444390,124,200,31.87,72.82,162,Poor,NO
2026-06-13 11:48:09.458784,133,237,31.87,58.5,185,Poor,NO
2026-06-13 11:48:14.464847,175,250,27.96,57.01,212,Hazardous,YES
2026-06-13 11:48:19.475143,322,75,42.69,67.5,198,Poor,NO
2026-06-13 11:48:24.482740,92,248,33.91,47.38,170,Poor,NO
2026-06-13 11:48:29.497881,269,203,25.69,30.13,236,Hazardous,YES
2026-06-13 11:48:34.516148,255,82,22.57,63.48,168,Poor,NO
2026-06-13 11:48:39.533730,127,29,23.77,40.9,78,Moderate,NO
2026-06-13 11:48:44.607130,203,26,29.45,88.72,114,Poor,NO
2026-06-13 11:48:49.786586,303,109,38.15,67.74,206,Hazardous,YES
2026-06-13 11:48:54.805780,185,113,21.42,86.27,149,Poor,NO
2026-06-13 11:48:59.820794,263,282,25.7,80.47,272,Hazardous,YES
2026-06-13 11:49:04.841609,305,188,35.52,37.89,246,Hazardous,YES
2026-06-13 11:49:09.857343,208,281,37.43,41.19,244,Hazardous,YES
2026-06-13 11:49:14.888235,187,222,24.09,48.86,204,Hazardous,YES
2026-06-13 11:49:19.901650,84,104,22.59,47.4,94,Moderate,NO
2026-06-13 11:49:24.918224,350,137,30.05,83.81,243,Hazardous,YES
2026-06-13 11:49:29.934676,249,251,28.25,47.17,250,Hazardous,YES
2026-06-13 11:49:34.946109,90,278,25.2,75.36,184,Poor,NO
2026-06-13 11:49:39.949201,258,153,30.84,70.25,205,Hazardous,YES
2026-06-13 11:49:44.967694,153,79,31.07,34.27,116,Poor,NO
2026-06-13 11:49:49.977893,324,77,40.99,80.69,200,Poor,NO
2026-06-13 11:49:54.984895,267,143,20.92,49.23,205,Hazardous,YES
2026-06-13 11:50:00.000971,76,170,33.67,81.09,123,Poor,NO
2026-06-13 11:50:05.029065,264,22,41.57,41.46,143,Poor,NO
2026-06-13 11:50:10.059063,178,223,24.2,46.72,200,Poor,NO
2026-06-13 11:50:15.101252,299,279,33.51,31.71,289,Hazardous,YES
2026-06-13 11:50:20.118249,91,283,26.84,85.57,187,Poor,NO
2026-06-13 11:50:25.165346,331,122,28.17,47.13,226,Hazardous,YES
2026-06-13 11:50:30.193530,279,108,25.23,65.82,193,Poor,NO
2026-06-13 11:50:35.209562,305,262,33.33,63.59,283,Hazardous,YES
2026-06-13 11:50:40.286557,112,218,29.15,67.29,165,Poor,NO
2026-06-13 11:50:45.511650,59,266,37.95,76.42,162,Poor,NO
2026-06-13 11:50:50.536927,193,135,38.82,31.7,164,Poor,NO
2026-06-13 11:50:55.557924,68,272,31.92,85.81,170,Poor,NO
2026-06-13 11:51:00.899926,296,44,26.85,85.74,170,Poor,NO
2026-06-13 11:51:05.933010,275,172,25.6,80.04,223,Hazardous,YES
2026-06-13 11:51:10.944220,59,197,21.87,35.59,128,Poor,NO
2026-06-13 11:51:15.953547,210,53,28.02,86.34,131,Poor,NO
2026-06-13 11:51:20.962231,263,175,34.4,72.53,219,Hazardous,YES
2026-06-13 11:51:25.970213,294,34,24.98,41.74,164,Poor,NO
2026-06-13 11:51:30.991704,151,246,40.46,30.58,198,Poor,NO
2026-06-13 11:51:36.058533,263,172,35.43,66.82,217,Hazardous,YES
2026-06-13 11:51:41.081086,180,250,39.47,87.18,215,Hazardous,YES
